"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"best foods mayonnaise","carrots","celery","frozen peas","hard boiled eggs","macaroni","maui onion","milk","salad potatoes","salt pepper","tuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"breadcrumbs","butter","fish steaks","milk","salt","sliced lemon","watercress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butter print sure","fish fillets flat","garlic dehy","lemon fresh","salt table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fish fillets","fresh herb","lemon herb dijon glaze","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chopped fresh parsley","fresh jalapeno pepper","fresh snapper fillet","lemon juice","manzanillo olives","onion","salt","tabasco sauce","tomato juice","tomato puree","worcestershire sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avocado","cilantro","garnish","jalapeno pepper strips","juice limes","marinade","olive","oregano","parsley","pimento stuffed green olives finely chopped","salt taste","scallops","serrano peppers","small peeled deveined rimp","snapper fillets","tomato juice","tomatoes","white onion","worcestershire sauce",NA,NA,NA,NA,NA,NA
"fish","green pepper","lemon juice","onion","pimiento","seasoning taste","thick white sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anchovy paste","cayenne pepper","dried chilies seeds","garlic","heaping black peppercorns","heaping caraway seeds","heaping coriander seeds","inch piece ginger root","lemon zest","salt","shallots","sprigs coriander","vegetable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chilli peppers","coriander leaves","crab meat","fish sauce","italian tomatoes","lemon grass","lime juice","mint leaves","prik","scallions","shallots","sugar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butter","capers","deep frying","fish stock","heavy cream","juice","macadamia nuts","salt fresh pepper","splash white wine","tomato sauce","trout filleted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chopped fresh parsley","cloves garlic","fish fillets","mandarines","olive","onions","piece fresh ginger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"almonds","butter","cream mushroom soup","flounder fillets","lemon juice","onion","paprika","rice","rosemary","spinach","water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anchovy fillets","capers","cherry tomatoes","eight tuna steaks","nicoise olives","nicoise vinaigrette","olive","rinsed minced","salt pepper","scallions wedges","watercress leaves torn pieces",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"milk shake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butter","fresh chives","fresh parsley","ground black pepper","heavy cream","lemon juice","salmon caviar","salt","smoked salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brown sugar","cajun creole seasoning","italian herb seasoning","pumpkin spice","salmon fillet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken broth","country style dijon mustard","finely chopped fresh chives","ground black pepper","lemon juice","salt","tuna steaks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"allspice","bluefish fillets","cord","maple syrup","salt ground black pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"basil","bread crumbs","butter","chopped garlic","dozen freshly shucked oysters","fish sauce","lime juice","pepper","salt","serrano chiles","spinach leaves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bean sprouts","chopped","chopped chives","chopped shallots","cloves garlic","dried shrimp","fish sauce","fried tofu marinated dark sweet","palm sugar","rice vermicelli","roasted peanuts","tamarind juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carrot","onion","salmon steaks","salt","stalk celery","water","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bell peppers","celery stalks","flour","garlic head","leaves","lemons","margarine","mushrooms","onion","oysters","parsley","shallots","snapper","tomatoes","water","worcestershire sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bass","butter","cornmeal","flour","leaf","minutes","monkfish","onion","paste","pepper","salt","scallion","snapper","stripped bass","vinegar","water",NA,NA,NA,NA,NA,NA,NA,NA,NA
"canola","cloves","cloves garlic","coconut milk","fresh","fresh lime wedges","freshly ground black pepper","green cardamom pods","ground cumin","ground turmeric","inch piece cinnamon stick","minced lemongrass","onion","quarter size slice fresh ginger","salt","shredded fresh cilantro leaves","snapper fillet","yellow",NA,NA,NA,NA,NA,NA,NA
"bell pepper","black olives","butter","capers","cinnamon","cloves garlic","fresh snapper fillets","granulated sugar","green bell pepper","jalapeno peppers","large roma tomatoes","leaf","lisa hlavaty fdgn81a","onion","purpose flour","salt pepper","white wine",NA,NA,NA,NA,NA,NA,NA,NA
"bell pepper","butter","cloves garlic","fresh parsley","lemon","lemons","mushrooms","onions","pickles","pimento stuffed olives","redfish","ribs celery","shallots","worcestershire sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alligator loin meat","asst baby vegetable","black sesame seeds","coconut milk","cucumber salad","curry powder","dried minced onions","fresh coriander","garlic","garnish ingredients","julienne pepper","jumbo frog legs","kaffir lime peel","pepper flakes","rattlesnake","reptile ingredients","salt pepper taste","snapping turtle meat","thai curry ingredients","thai curry paste","thai curry paste ingredients","thai fish sauce","thai sauce","turmeric","water"
"assorted vegetables","kosher salt","pepper","pound swordfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"celery","cheddar cheese","mayonnaise","onion flakes","salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alaska salmon","cayenne pepper","dried basil","eggs","frozen chopped spinach thawed drained","nonfat cottage cheese","shredded swiss cheese","stick vegetable coating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chopped fresh parsley","cream cheese","horseradish","lemon juice","liquid smoke","minced onion","salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dijon mustard","honey","lemon juice","minced fresh dill","minced shallots","nonfat plain yogurt","salmon steaks","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chopped coriander leaves","firm fresh fish","green chillies finely chopped","lemon juice","onions","salt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butter","garlic powder","lemon slices","salmon steaks","sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"crawfish tails","fresh dill","garlic minced","honey","olive","onion chopped","salt","tomatoes diced","water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butter","cayenne pepper","celery chopped","clove garlic minced","crab meat","fish fillets chunk","fish stock","flour","leaf","lemon juice","olive","onion chopped","oysters reserve liquid","parsley","saffron","salt","shrimp peeled deveined","tomatoes canned","white wine",NA,NA,NA,NA,NA,NA
"bread crumbs","cayenne pepper","celery stalk","chopped chives","finely chopped parsley","fish shellfish salmon","flavorless cooking","ground nutmeg","milk","onion","purpose flour","salt","unsalted butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"butter","fish stock","flounder fillets","flour","freshly ground pepper","green onions sliced diagonal","mushrooms","parchment paper","parsley","salt","scallops","shrimp","vegetable","white wine","yolks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
