"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"basil","cloves garlic","corn","favorite seasonings","hamburger","italian seasoning","kidney beans","mild","mushrooms","onion","pepper","tomato sauce","uncooked pasta",NA,NA,NA,NA,NA
"chicken breasts","chili","chopped celery","chopped cilantro","corn kernels","ground roasted peanuts","minced garlic","minced ginger root","pasta","peanut","rice vinegar","salt","sauce","seasame seeds","sesame","snow peas","sugar","water"
"chicken breast","chili pepper","chinkiang vinegar","clove garlic","cool water","ginger juice","green onions","peanut","sugar","thin","thin chinese flour noodles","yolks",NA,NA,NA,NA,NA,NA
"butter","chicken wings","flour tortillas","fresh cilantro","garlic","habanero chiles","lemon","plain nonfat yogurt","salt","salt black pepper","vinegar",NA,NA,NA,NA,NA,NA,NA
"bell pepper","chicken breast","chicken broth","chopped tomatoes","cloves garlic","cooking","fully smoked sausage","green onions","ground black pepper","ground pepper","seasoning salt","shrimp","tabasco sauce","uncle long grain white rice","white onion",NA,NA,NA
"brown sugar","butter","canned mandarin oranges","canned peach","canned purple plums","lemon rind","mandarin orange liquid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"baking powder","cocoa","flour","milk","salt","sauce","shortening","sugar","water",NA,NA,NA,NA,NA,NA,NA,NA,NA
"coriander seeds","leaves","lemon leaves","lemons","peppercorns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bean thread noodles","chicken stock","chili","chinese vinegar cider vinegar","cornstarch","dark sauce","dried chinese mushrooms","eggs","finely chopped cilantro","finely chopped scallions","fresh bean curd","lean pork","sesame","sugar","water","white pepper",NA,NA
"amount cereal","apple butter","crunchy granola","drained pineapple chunks","dried cranberries heated cranberry","dried mixed tropical fruit","fruit preserves","maple syrup","ntil","peanut butter semisweet chocolate","saute sliced apples butter","simple cereal toppers","sliced bananas flaked coconut","special toppers","toasted pecan pieces caramel topping","warmed cinnamon applesauce",NA,NA
"anchovies","basil leaves","black olives","capers","chopped parsley","garlic","green olives","olive","pepper flakes","tomatoes","vermicelli",NA,NA,NA,NA,NA,NA,NA
"anellini","clove garlic","cucumber slices","cucumbers","finely minced fresh mint","fresh ground black pepper","fresh mint","fresh queezed lemon juice","green onionns","ground cumin","minced yellow","parsley","pasta rings","plain yogurt","salt","small tomato",NA,NA
"cayenne pepper sauce","chicken wings","melted butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"broth sauteeing","chick peas","cider vinegar","cloves garlic","grated fresh ginger root","jalepenos","lemon","pineapple orange juice concentrate","salt","tomato sauce",NA,NA,NA,NA,NA,NA,NA,NA
"chicken fingers","chili powder","chunky peanut butter","condensed cream chicken soup","green onions","pepper flakes","water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brown sugar","chipotle salsa","freshly ground black pepper","freshly squeezed lime juice","roma tomatoes","salt","tabasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"allspice","berry cranberry sauce","cinnamon","cloves","ginger","peeled","raisins","sugar","vinegar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"butter","chicken broth","flour","freshly grated nutmeg","frozen chopped spinach","grated onion","grind fresh black pepper","lemon juice","salt",NA,NA,NA,NA,NA,NA,NA,NA,NA
"chili powder aioli","cumin","dijon mustard","dried tarragon","garlic cloves","garlic powder","lemon juice","mayonnaise","onion powder","tilapia fillets",NA,NA,NA,NA,NA,NA,NA,NA
"brown sugar","finely minced garlic","ground ginger","lean meat","sauce","sherry","tabasco sauce","vegetable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cauliflower florets","chicken stock water","chopped","finely chopped onion","fresh lime juice","ground coriander","ground cumin","inch green chilies","lamb shoulder","minced garlic","minced peeled fresh ginger root","purpose flour","russet potato","spinach","sweet potatoes","unsalted butter","vegetable","water"
"beef chuck","curry powder","fresh chile pepper","fresh lemon juice","freshly grated coconut","freshly ground black pepper","green plantains","ground coriander seed thick slices","salt","small green banana","small onion","unsalted buter","vegetable","water","well washed chopped spinach leaves",NA,NA,NA
"appetizer servings","chopped fresh parsley","chopped seeded tomatoes","dried pepper","fennel seeds","fresh mussels","garlic cloves","lemon slices","olive","onion","salt","white wine",NA,NA,NA,NA,NA,NA
"broiler chicken","chicken breasts","grated parmesan cheese","italian seasoning","mozzarella cheese","salsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"beans","corn kernels salt","cumin","garlic cloves","onion","pepper","rice","salsa","tomatoes","vegetable","vegetable stock",NA,NA,NA,NA,NA,NA,NA
"celery inch lengthwise","chili strips","maggi sauce","salt","shredded flank steak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chopped onion","cinnamon","dried","garlic","habanero peppers","lime juice","mustard","papayas","salt","sugar","vinegar",NA,NA,NA,NA,NA,NA,NA
"chicken broth","chile","cooking wine","cornstarch","drops sesame","ground pork","japanese eggplant","minced garlic","minced ginger root","minced green onions","sauce","shredded bamboo shoots","sugar","vegetable","vinegar","water",NA,NA
